date,6B_FRONT_CALENDAR,6E_FRONT_CALENDAR,6J_FRONT_CALENDAR,CL_FRONT_VOLUME,ES_FRONT_CALENDAR_2D,GC_FRONT_VOLUME,NQ_FRONT_CALENDAR_2D,RTY_FRONT_CALENDAR_2D,SR3_FRONT_CALENDAR,UB_FRONT_VOLUME,ZF_FRONT_VOLUME,ZN_FRONT_VOLUME,ZT_FRONT_VOLUME
2021-01-01,,,,,,,,0.09743016778345193,,0.13289035632774904,0.6745235836976453,,1.2761806417218224
2021-01-03,0.19153596661109362,-0.01127233203037381,0.3610870105299362,-0.018381140157493814,0.12524654826534154,0.6827835930941356,0.24037029776197016,,,0.1468165868577994,0.6906525993064034,0.24356049908865907,1.1223354977309725
2021-01-04,0.08818647706547389,-0.1476583053168561,0.3809605555772273,-0.22133860005597317,-0.07428118978353648,1.0156508819671775,0.026976416234974376,-0.13582837486731658,,-0.05564435692187908,0.5645155124620764,0.296772722469263,0.8717876489360037
2021-01-05,0.49353114625394867,0.08877694115857171,0.3799264617324747,0.08091605036686289,0.051976553675659565,1.068676860320358,0.17342310193043242,0.06983469071725046,,-0.229570420300499,0.12612358306574234,-0.0008170320656294416,0.35310977777672403
2021-01-06,0.1893878413078638,0.030590003916178166,0.1356915643530714,0.06412216389588465,0.10946745559957671,0.8328680726418909,0.013090510292397939,,,-0.44805192477652334,-0.4159170951610056,-0.4166665277778241,-0.21831461409058117
2021-01-07,0.04545929804710336,-0.15200457540352108,-0.23912492981162226,0.01984736147643451,0.20808678511367584,0.8376595716198254,0.15694711802802974,0.11040769962241925,0.6666444451845288,-0.49025971479170316,-0.8077728464327985,-0.46874984375005213,-0.21831461409058117
2021-01-08,-0.2656820630168031,-0.32067778392892743,-0.553004485666359,4.076903392657982e-08,0.05128205182262113,0.09087073196496798,0.050956856568409536,0.07090948269224717,,-0.38636361629279914,-0.9888937555326034,-0.39583320138893285,-0.15531145038073646
2021-01-10,,-0.4151656237773571,,-0.04482386590628029,-0.02665572094995583,-0.040413251808651074,-0.03391258550625986,,,-0.36098339308795757,-0.972500330109312,-0.35519790107591453,-0.09816901119400612
2021-01-11,-0.3033420657135846,-0.5082220812246476,-0.7682081590359622,-0.06616858737639708,-0.08175061865949784,-0.1491797341289296,-0.16872037905287085,-0.05666942691336607,-0.33332222259321176,-0.29870128318434896,-1.0724473415362596,-0.33333322222225925,-0.4468843708375032
2021-01-12,0.2034954077198743,-0.3449081325842567,-0.47333921786851363,2.939214960306913e-08,-0.08422791019716169,0.07423039585081592,-0.19104791987203096,-0.010936204182080633,-0.6666444451854763,-0.1429703938059953,-0.8770482855294299,-0.14239291379036123,-0.3325994924640421
2021-01-13,0.31504045292456917,-0.3779684058337862,,0.0012871312459423745,0.030914079925443927,-0.04913672650955769,-0.08399264622164226,,,-0.009060704936940667,-0.7934946995257735,-0.048929635992119414,-0.44102364631438906
2021-01-14,0.2962103628163675,-0.4554376256843331,-0.44572283839275006,0.16964879430806867,0.08481555157314391,-0.03381894777626082,-0.0859410047795468,0.015557523900755488,-0.6666444451854763,-0.24909391597565134,-0.7942879289693732,-0.1565366388684526,-0.27545705327731174
2021-01-15,0.2445882404154036,-0.4734682138032147,-0.29942817668956123,0.11746693663466456,-0.07523087820739693,-0.12018373404239657,-0.23306019798678324,1.304200969443059e-09,-0.16666111129707972,-0.2363711736463291,-0.6443674118289515,-0.07845944010951755,-0.2007324405212394
2021-01-17,-0.06984359536077633,-0.5082123213552925,,-0.029457566962620696,-0.06758025300342463,-0.3479919163631022,-0.17697479720965004,,,-0.09302325012818469,-0.5962447748172104,0.06613149065150548,-0.2007324405212394
2021-01-18,-0.22741645130537846,-0.47921369478979203,-0.23237517749548742,-0.04106469080216657,-0.02401979835434842,-0.12325260111369607,-0.15150028867085208,-0.13006654411857954,,-0.254530339481458,-0.7585925701629245,-0.07224767030344115,-0.30915659437158616
2021-01-19,,,,,,,,-0.033364866310314545,,-0.3611446497332653,-0.6607608372522429,,-0.0468872965303897
2021-01-20,-0.06094984378637136,-0.41381589230039983,-0.31872433511148923,0.07388198607097274,0.09970674541611091,0.14236123307832105,0.06245425730161047,,,-0.13470249881817697,-0.5301422534949785,0.06116207480664437,-0.17142731756019147
2021-01-21,0.29161873848804,-0.27401192790619056,-0.08488318635849867,0.09452178237690001,-0.012668249487662875,0.21890365381603016,1.9175194765352899e-10,-0.008223457455230898,0.33332222259321176,-0.29662487112663527,-0.6271807569620602,-0.06307336107021078,-0.057142439186730565
2021-01-22,0.11207954864009317,-0.3919327241726327,-0.4286705395578265,-0.0529409080630423,-0.0058981570313816345,0.06594163365236227,-0.01493168071884643,0.03576159072208451,0.16666111129707972,-0.20851252975619206,-0.6328150765205376,0.0017329505570407022,0.057142439186730565
2021-01-24,,-0.46098012451832804,,-0.0577283442304366,0.012200979333829132,-0.032452230463558385,0.0028527281155543704,,0.0,-0.2863157839664894,-0.7186992123542666,-0.057186500696871034,0.0
