date,CL,ES,GC,SI
2023-01-01,0.0,0.0,-0.24,0.0
2023-01-02,0.029965289832111684,0.04792003999047751,-0.23946686416826937,0.0
2023-01-03,0.0597226077696294,0.0953612787816294,-0.23786982528820308,0.0
2023-01-04,0.08906542533162824,0.14184969919744297,-0.23521597868189797,0.0
2023-01-05,0.11779009084661479,0.18692080430815228,-0.23151711485533533,0.0
2023-01-06,0.1456972428820049,0.23012425853001744,-0.22678966711553705,0.0
2023-01-07,0.17259319389751307,0.271028387229617,-0.22105463856069243,0.0
2023-01-08,0.19829127451930914,0.3092244898740917,-0.21433750876762306,0.0
2023-01-09,0.2226131291051053,0.344330923631771,-0.20666812059115447,0.0
2023-01-10,0.24538995360840027,0.37599691662119206,-0.1980805475783228,0.0
2023-01-11,0.26646366715057335,0.4039060727077904,-0.18861294258646752,0.0
2023-01-12,0.28568800916961906,0.42777953282948905,-0.1783073682777706,0.0
2023-01-13,0.3029295545308427,0.4473787612642686,-0.1672096102433197,0.0
2023-01-14,0.3180686395542132,0.4625079290002526,-0.1553689735869486,0.0
2023-01-15,0.3310001925313518,0.47301587039446086,-0.14283806387259068,0.0
2023-01-16,0.34163446296801103,0.4787975935699461,-0.12967255340835354,0.0
2023-01-17,0.3498976444907925,0.4797953294599225,-0.1159309339056664,0.0
2023-01-18,0.35573238709486443,0.4759991090171849,-0.1016742566123867,0.0
2023-01-19,0.3590981951774596,0.46744686282153364,-0.08696586107440167,0.0
2023-01-20,0.3599717085946349,0.4542240420899589,-0.0718710937307827,0.0
2023-01-21,0.3583468647906354,0.43646276487632724,-0.056457017592717464,0.0
2023-01-22,0.35423494087461727,0.41434049599145945,-0.04079211429605785,0.0
2023-01-23,0.3476644753526999,0.38807827383340326,-0.02494597985120423,0.0
2023-01-24,0.33868107005855863,0.35793850184482573,-0.008989015442047997,0.0
2023-01-25,0.3273470736572454,0.3242223266645525,0.0070078853523093156,0.0
2023-01-26,0.3137411489188555,0.2872666291698991,0.02297365152345016,0.0
2023-01-27,0.29795772676534577,0.2474406584743028,0.03883735038781729,0.0
2023-01-28,0.28010635087965163,0.2051423425122383,0.054528502726340904,0.0
2023-01-29,0.2603109174257968,0.16079431207483444,0.06997739590941422,0.0
2023-01-30,0.23870881515666093,0.11483967802271157,0.08511539361606664,0.0
2023-01-31,0.21544997187742432,0.06773760386873626,0.09987524077131417,0.0
2023-02-01,0.19069581388264142,0.019958717967979434,0.11419136234691249,0.0
2023-02-02,0.16461814558889232,-0.02801958884523844,0.12800015469800005,0.0
2023-02-03,0.13739795713883943,-0.07571793318875915,0.14124026814128302,0.0
2023-02-04,0.10922416825242819,-0.122659728972879,0.15385287951932117,0.0
2023-02-05,0.0802923170434373,-0.16837594929101754,0.16578195353997036,0.0
2023-02-06,0.05080320290155219,-0.21240981278152918,0.1769744917298989,0.0
2023-02-07,0.02096149285894081,-0.25432134763607683,0.18738076789613148,0.0
2023-02-08,-0.00902569888626087,-0.2936917876525051,0.19695454904950874,0.0
2023-02-09,-0.03895024843083902,-0.33012775640830744,0.20565330080854735,0.0
2023-02-10,-0.06860446663517474,-0.3632651977478056,0.21343837637112992,0.0
2023-02-11,-0.09778254057447348,-0.39277301331091696,0.22027518821446374,0.0
2023-02-12,-0.12628196196826313,-0.41835637075852233,0.22613336176047794,0.0
2023-02-13,-0.15390493267424935,-0.4397596496397384,0.23098687032395707,0.0
2023-02-14,-0.18045973749180408,-0.45676899546696775,0.23481415074386092,0.0
2023-02-15,-0.20576207474724373,-0.46921445647924653,0.2375981991841069,0.0
2023-02-16,-0.22963633542606668,-0.47697168174406296,0.2393266466781885,0.0
2023-02-17,-0.25191682197442883,-0.4799631636307684,0.23999181408200276,0.0
2023-02-18,-0.2724488983108541,-0.4781590122412035,0.23959074619074075,0.0
2023-02-19,-0.2910900630666069,-0.4715772540596796,0.23812522486826732,0.0
2023-02-20,-0.30771093860598236,-0.46028365183830644,0.23560176113065895,0.0
2023-02-21,-0.32219616896229003,-0.44439104751731157,0.23203156621907065,0.0
