date,regime
2024-03-14,NORMAL
2024-03-15,NORMAL
2024-03-17,NORMAL
2024-03-18,NORMAL
2024-03-19,NORMAL
2024-03-20,NORMAL
2024-03-21,NORMAL
2024-03-22,NORMAL
2024-03-24,NORMAL
2024-03-25,NORMAL
2024-03-26,NORMAL
2024-03-27,NORMAL
2024-03-28,NORMAL
2024-03-29,NORMAL
2024-03-31,NORMAL
2024-04-01,NORMAL
2024-04-02,NORMAL
2024-04-03,NORMAL
2024-04-04,NORMAL
2024-04-05,NORMAL
2024-04-07,NORMAL
2024-04-08,NORMAL
2024-04-09,NORMAL
2024-04-10,NORMAL
2024-04-11,NORMAL
2024-04-12,NORMAL
2024-04-14,NORMAL
2024-04-15,NORMAL
2024-04-16,NORMAL
2024-04-17,NORMAL
2024-04-18,NORMAL
2024-04-19,NORMAL
2024-04-21,NORMAL
2024-04-22,NORMAL
2024-04-23,NORMAL
2024-04-24,NORMAL
2024-04-25,NORMAL
2024-04-26,NORMAL
2024-04-28,NORMAL
2024-04-29,NORMAL
2024-04-30,NORMAL
2024-05-01,NORMAL
2024-05-02,NORMAL
2024-05-03,NORMAL
2024-05-05,NORMAL
2024-05-06,NORMAL
2024-05-07,NORMAL
2024-05-08,NORMAL
2024-05-09,NORMAL
2024-05-10,NORMAL
2024-05-12,NORMAL
2024-05-13,NORMAL
2024-05-14,NORMAL
2024-05-15,NORMAL
2024-05-16,NORMAL
2024-05-17,NORMAL
2024-05-19,NORMAL
2024-05-20,NORMAL
2024-05-21,NORMAL
2024-05-22,ELEVATED
2024-05-23,ELEVATED
2024-05-24,ELEVATED
2024-05-26,ELEVATED
2024-05-27,ELEVATED
2024-05-28,ELEVATED
2024-05-29,ELEVATED
2024-05-30,ELEVATED
2024-05-31,ELEVATED
2024-06-02,ELEVATED
2024-06-03,NORMAL
2024-06-04,NORMAL
2024-06-05,NORMAL
2024-06-06,NORMAL
2024-06-07,NORMAL
2024-06-09,NORMAL
2024-06-10,NORMAL
2024-06-11,NORMAL
2024-06-12,NORMAL
2024-06-13,NORMAL
2024-06-14,NORMAL
2024-06-16,NORMAL
2024-06-17,NORMAL
2024-06-18,NORMAL
2024-06-19,NORMAL
2024-06-20,NORMAL
2024-06-21,NORMAL
2024-06-23,NORMAL
2024-06-24,NORMAL
2024-06-25,NORMAL
2024-06-26,NORMAL
2024-06-27,ELEVATED
2024-06-28,ELEVATED
2024-06-30,ELEVATED
2024-07-01,ELEVATED
2024-07-02,ELEVATED
2024-07-03,ELEVATED
2024-07-04,NORMAL
2024-07-05,NORMAL
2024-07-07,NORMAL
2024-07-08,NORMAL
2024-07-09,ELEVATED
2024-07-10,ELEVATED
2024-07-11,ELEVATED
2024-07-12,ELEVATED
2024-07-14,ELEVATED
